ID	ISO_code	Languoid	Genus	Family	Macroarea	Form	Meaning	Example(s)	Translation	Gloss	Type	Type_cat	Haiman	Productivity	Productivity_Cat	History	Notes	Reference
eus_03	eus	Basque	Basque	Basque	Eurasia	Verb/suffix (written separately) (e)raz- added to the participle (Western dialects) or the verbal root (Eastern dialects)	More direct causation than eus_01 and eus_02, less direct causation than eus_04	Berek etzuten nihor hil arazteko bothererik.	They did not have any power to make anyone die.	they not.AUX anyone die CAUSE.NOM.REL power.PRTT	Morphological/Syntactic	MorphSynt	x + y or x # y	Productive (all verb classes)	Yes	NA	Dialectal variation in the form of the verb/suffix;  causative verbs agree with both the causer and causee; the causee is marked with absolutive (intransitive verbs, inanimate causees) or dative (intransitive verbs + animate causees, plus mono- and ditransitive). But there's a lot of variation, also dialectal.	Hualde 2003: 593
eus_04	eus	Basque	Basque	Basque	Eurasia	Analytic causative with egin "make" + subjunctive clause	Less direct causation than eus_01, eus_02 and eus_03	ikas dezan egin	make him learn;  lit. make that he learn	learn(RAD) AUX (SUBJ).COMP make	Syntactic	Synt	x # a # y	No restrictions specified	Yes	NA	NA	Hualde 2003: 595
eus_05	eus	Basque	Basque	Basque	Eurasia	Analytic causative with behartu "force"	Forceful causation	Liburu guztiak irakurtzera behartu naute.	They forced me to read all the books.	book all read.NOM.ALL force AUX.3E/1A	Syntactic	Synt	x # a # y or x+a # y	No restrictions specified	Yes	NA	The causee is the implicit subject of the nominalized clause in allative or inessive.	Hualde 2003: 596
fao_01	fao	Faroese	Germanic	Indo-European	Eurasia	Analytic causative with auxiliary lata "let, have"	Indirect factitive and permissive causation, also curative	Hon læt hann vaska upp.	She let/made him wash up.	she let him(A) wash up	Syntactic	Synt	y  # (a) # x	No restrictions are mentioned.	Yes	NA	NA	Thráinsson et al. 2004: 313
guk_01	guk	Gumuz	Gumuz	Gumuz	Africa	Incorporated nouns/classifiers can add an argument to a verb and thus evoke a direct causative reading. The classifiers differ depending on the verb and the object (e.g. inanimate or animate).	Direct causation	faat-ákʼw	drop	fall-HEAD	Morphological	Morph	x + y	Not productive.	No	NA	The example comes from the Southern dialect.	Ahland 2012: 369
guk_02	guk	Gumuz	Gumuz	Gumuz	Africa	Periphrastic causative with verb tʼoo ‘do, put’ 	Indirect causation	b-a-tʼoo-gá ára ká-m-faat-ára	She made me fall (e.g. by leaving water on the floor).	AFF-3SG.TR-put-NFUT 1SG DAT-NMLZ-fall-1SG.INTR	Syntactic	Synt	x # a # y	No restrictions specified	Yes	NA	The example comes from the Southern dialect.	Ahland 2012: 370
gyd_01	gyd	Kayardild	Tangkic	Tangkic	Australia	Suffix -THarrma-tha; TH alternates with j depending of preceding vowel	The causer acts directly upon the causee, remaining in physical contact throughout the process	thulatharrmatha 'take down' from thulatha 'descend'; dalijarrmatha 'bring' from dalija 'come' 	NA	NA	Morphological	Morph	x + y	Typically used with controlled motion or stance verbs; intransitive only; not productive	No	It is likely that the causative suffix derives from the free verb karrmatha 'hold, grasp'. 	With transitive verbs, finite subordinate clauses of purpose can be used	Evans 1995: 355
gyd_02	gyd	Kayardild	Tangkic	Tangkic	Australia	Factitive suffix -lu-tha/ -ru-tha; -lu-tha follows verb roots, and nominal stems in final apicals (-rr, -l, -n), which it replaces; -ru-tha is used in all other cases. (284)	Typically the causal sequence is somewhat indirect; no spatiotemporal integration required	dulbalutha 'cause to sink, drown" from dulbatha 'sink (i.)';  dulalutha 'make fat, cause to grow fat' from dulatha 'grow fat'	NA	NA	Morphological	Morph	x + y	Typically used with process verbs and meteorological verbs; intransitive only; with verb roots, noun/adjectives and privative nominalized verbs	Partly	Probably derives from the pT root marlu-tha 'put'	In a complementary distribution with gyd_03. With transitive verbs, finite subordinate clauses of purpose can be used.	Evans 1995: 355
gyd_03	gyd	Kayardild	Tangkic	Tangkic	Australia	Compound of causative verb -MARU-THA 'put' after (positive) nominalized verbs and predicate nominals	Typically the causal sequence is somewhat indirect; no spatiotemporal integration required	yiiwi-n-maru-tha [sleep-N-put-ACT] 'put to sleep'; rajurrinmarutha 'enable to walk (e.g. young child)	NA	NA	Morphological/Syntactic	MorphSynt	x + a + y or x + a # y	Intransitive only; productive; after plain nominalized verbs and nominal predicators	Partly	NA	In a complementary distribution with gyd_02. With transitive verbs, finite subordinate clauses of purpose can be used.	Evans 1995: 356
hau_01	hau	Hausa	West Chadic	Afro-Asiatic	Africa	Analytic causative with sâ "cause" (causing event) and finite clause (caused event) and raised object pronoun	Direct causation (the controller is directly causing the controllee to do something)	nā sâ shi [jā mayar̃ dà littāfī̀̀]	I made him return the book.	NA	Syntactic	Synt	y  # a # x	No restrictions are mentioned.	Yes	NA	NA	Newman 2000: 82
hau_02	hau	Hausa	West Chadic	Afro-Asiatic	Africa	Analytic causative with sâ "cause" (causing event) and finite clause (caused event), without raised object pronoun	Indirect (roundabout) causation	nā sâ [jā mayar̃ dà littāfī̀̀]	I made him return the book. OR I made it so (i.e. caused something to happen) such that he returned the book.	NA	Syntactic	Synt	y  # a # x	No restrictions are mentioned.	Yes	NA	NA	Newman 2000: 82
ikx_01	ikx	Ik	Kuliak	Eastern Sudanic	Africa	Suffix -ıt-  after the root;  with the allomorph -it- on [+ATR] stems.	No specific meaning: valency-increasing device.	fek-it-et-és ‘to make laugh’ from fek-on ‘to laugh’; ŋáb-it-et-és ‘to dress’ from ŋáb-es ‘to wear’	NA	NA	Morphological	Morph	x + y	No restrictions (intransitive, transitive and ditransitive verbs)	Yes	The suffix is apparently related to the Teso-Turkana causative -itV, which can be traced back to the proto-Teso-Turkana verb root *-ito ‘send’ (Dimmendaal 1983:196).	After high back vowels, the vowel in {-ɪt-} may be assimilated for backness, e.g. itúr-út-és ‘to praise (cause to be proud)’. The causative is often further extended by the aspectual completive {-ʊƙɔtɪ-́ } and inchoative {-ɛt́ -} suffixes.	Schrock 2014: 383-384
ikx_02	ikx	Ik	Kuliak	Eastern Sudanic	Africa	Periphrastic causative with verb ɪtɪ́ŋ- ‘force’; the verbal complement follows the object in the form of a nominalized verb in the dative case	Forceful causation	Itiŋida nka ƙoonik. ɪtɪŋ́ -ɪd́ -a ŋk-a ƙo-oni-kᵉ	You force me to go.	force-2SG-REAL I-NOM go-INF-DAT	Syntactic	Synt	y # a # x	No restrictions are mentioned.	Yes	NA	The causer is the transitive subject (A) and the causee the object (O).	Schrock 2014: 384
jup_01	jup	Hup	Nadahup	Nadahup	South America	Diverse	NA	mæh- "kill, hit"; pu "be wet, wet"	NA	NA	Lexical	Lex	z	Not productive	No	NA	Many verbs are labile	Epps 2008: 399, 376
jup_02	jup	Hup	Nadahup	Nadahup	South America	Compounds with d’oɁ- "take" causative stem (compound-initial)	The causer is directly (although not always immediately) involved in bringing about the causee's performance of the activity. In many cases, physical involvement of the participants throughout the event.	d'oɁ-naɁ- "cause to die"	NA	NA	Morphological/Syntactic	MorphSynt	x + y or x # y	Only with intransitive stems	Partly	NA	NA	Epps 2008: 398-399
jup_03	jup	Hup	Nadahup	Nadahup	South America	Compounds with root d'əh- "send, cause to move" (compound-initial)	The causee has a degree of control or autonomy in carrying out the activity; implies the absence of physical involvement between causer and causee beyond the initial impetus for the event 	Ɂãh bóda=tat tac-[d'əh-yé]-éy, mǒy g'od-an	I kicked the ball into the house.	1sg ball=FRUIT kick-send-enter-DYNM house inside-OBJ	Morphological/Syntactic	MorphSynt	x + y or x # y	Combines productively with direction and movement verbs	Partly	NA	Can be repeated	Epps 2008: 400
jup_04	jup	Hup	Nadahup	Nadahup	South America	Compounds with root g'et- "stand" (compound-initial)	The causer is in the position of caring for, chaperoning, or helping the causee, and the causer is usually understood to participate to some degree in the joint activity. This type of construction is most commonly used in reference to children.	Ɂã́h tɨh=dóɁ-ǎn g'et-wǽd-ǽh 	I fed the child.	1sg 3sg=child-OBJ stand-eat-DECL	Morphological/Syntactic	MorphSynt	x + y or x # y	Fairly productive, although more limited use than the two other compounds (C2 and C3)	Partly	NA	NA	Epps 2008: 401
jup_05	jup	Hup	Nadahup	Nadahup	South America	Compounds with -bɨɁ- "make, work" (compound-final)	Non-implicative	tɨh=dóɁ-ǎn peɁ-bɨ́Ɂ-ɨ́y  	(Someone) is (working to) make the child sick (i.e., via a spell).	3sg=child-OBJ sick-make-DYNM	Morphological/Syntactic	MorphSynt	x + y or x # y	Intransitive and transitive	Yes	NA	NA	Epps 2008: 403-404
jup_06	jup	Hup	Nadahup	Nadahup	South America	Compounds with -yæ̃h- "order, request, compel" (compound-final)	Non-implicative	tɨh=dóɁ tɨh=báb'-ǎn wæ̌g wæd-yæ̃́h-æ̃́y 	The child made his sibling eat sand. (also: "told his sibling to eat sand)"	NA	Morphological/Syntactic	MorphSynt	x + y or x # y	Intransitive and transitive	Yes	A cognate form of this root has a similarly causative function in Yuhup verb compounds, but precedes the stems with which it co-occurs	NA	Epps 2008: 403-404
kat_01	kat	Georgian	Kartvelian	Kartvelian	Eurasia	Suffix -in- (with some verbs, -ev-in-)	Different types of causation (force, compel, make, persuade, let, get, help X (to) do (Y)), depending on the context	ektan-ma av+ad+m+qʼ+op-i da-(Ø-)a-cʼv-in-a	The nurse made the sick person lie down/put the sick person to bed.	nurse-ERGA invalid-NOMB PREV-(XB-)NV-lie.down-TS=CAUS-sheA	Morphological	Morph	x + y	Intransitive, transitive and ditransitive verbs	Yes	NA	NA	Hewitt 1995: 557
